Kod;Jednostka terytorialna;ogó³em;mê¿czyŸni;kobiety
2607043;Æmielów * (3);7812;3785;4027
2607053;Kunów * (3);10117;4996;5121
2607062;Waœniów * (2);7126;3575;3551
2608013;Dzia³oszyce * (3);5357;2672;2685
2608022;Kije * (2);4526;2244;2282
2608032;Micha³ów * (2);4830;2454;2376
2608043;Piñczów * (3);21813;10727;11086
2608052;Z³ota * (2);4785;2335;2450
2609011;Sandomierz * (1);24894;11639;13255
2609022;Dwikozy * (2);9129;4458;4671
2609032;Klimontów * (2);8583;4315;4268
2609043;Koprzywnica * (3);7016;3470;3546
2609052;£oniów * (2);7507;3797;3710
2609062;Obrazów * (2);6694;3277;3417
2609072;Samborzec * (2);8812;4399;4413
2609082;Wilczyce * (2);3851;1957;1894
2609093;Zawichost * (3);4706;2307;2399
2610011;Skar¿ysko-Kamienna * (1);48580;23154;25426
2610022;Bli¿yn * (2);8521;4185;4336
2610032;£¹czna * (2);5337;2656;2681
2610042;Skar¿ysko Koœcielne * (2);6291;3081;3210
2610053;Suchedniów * (3);10741;5237;5504
2611011;Starachowice * (1);52359;24985;27374
2611022;Brody * (2);11165;5435;5730
2611032;Mirzec * (2);8445;4246;4199
2611042;Paw³ów * (2);15320;7715;7605
2611053;W¹chock * (3);7167;3483;3684
2612012;Bogoria * (2);7975;3961;4014
2612022;£ubnice * (2);4358;2137;2221
2612032;Oleœnica * (2);3970;1984;1986
2612043;Osiek * (3);7872;3982;3890
2612053;Po³aniec * (3);12084;5995;6089
2612062;Rytwiany * (2);6440;3196;3244
2612073;Staszów * (3);26749;13134;13615
2612082;Szyd³ów * (2);4841;2455;2386
2613012;Kluczewsko * (2);5280;2681;2599
2613022;Krasocin * (2);10837;5498;5339
2613032;Moskorzew * (2);2803;1430;1373
2613042;Radków * (2);2575;1283;1292
2613052;Secemin * (2);4997;2481;2516
2613063;W³oszczowa * (3);20347;9967;10380
2661011;Kielce * (1);202196;95509;106687
2801011;Bartoszyce * (1);25022;11872;13150
2801021;Górowo I³aweckie * (1);4424;2187;2237
2801032;Bartoszyce * (2);11045;5598;5447
2801043;Bisztynek * (3);6829;3359;3470
2801052;Górowo I³aweckie * (2);7189;3606;3583
2801063;Sêpopol * (3);6779;3386;3393
2802011;Braniewo * (1);17778;8681;9097
2802022;Braniewo * (2);6379;3263;3116
2802033;Frombork * (3);3758;1846;1912
2802042;Lelkowo * (2);3086;1517;1569
2802053;Pieniê¿no * (3);6746;3507;3239
2802062;P³oskinia * (2);2653;1321;1332
2802072;Wilczêta * (2);3144;1599;1545
2803011;Dzia³dowo * (1);21619;10433;11186
2803022;Dzia³dowo * (2);9777;4927;4850
2803032;I³owo-Osada * (2);7369;3570;3799
2803043;Lidzbark * (3);14739;7291;7448
2803052;P³oœnica * (2);5950;2979;2971
2803062;Rybno * (2);7372;3690;3682
2804012;Elbl¹g * (2);7150;3652;3498
2804022;Godkowo * (2);3328;1668;1660
2804032;Gronowo Elbl¹skie * (2);5173;2567;2606
2804042;Markusy * (2);4219;2139;2080
2804052;Milejewo * (2);3200;1604;1596
2804063;M³ynary * (3);4634;2296;2338
2804073;Pas³êk * (3);19672;9636;10036
2804082;Rychliki * (2);4112;2085;2027
2804093;Tolkmicko * (3);6838;3391;3447
2805011;E³k * (1);59044;28468;30576
2805022;E³k * (2);10930;5574;5356
2805032;Kalinowo * (2);7052;3619;3433
2805042;Prostki * (2);7552;3836;3716
2805052;Stare Juchy * (2);3974;2037;1937
2806011;Gi¿ycko * (1);30178;14324;15854
2806042;Gi¿ycko * (2);8028;4052;3976
2806052;Kruklanki * (2);3139;1594;1545
2806062;Mi³ki * (2);3919;2005;1914
2806083;Ryn * (3);5888;2970;2918
2806102;Wydminy * (2);6637;3349;3288
2807011;I³awa * (1);33321;15983;17338
2807021;Lubawa * (1);9951;4833;5118
2807032;I³awa * (2);12612;6385;6227
2807043;Kisielice * (3);6217;3163;3054
2807052;Lubawa * (2);10572;5384;5188
2807063;Susz * (3);13126;6641;6485
2807073;Zalewo * (3);7116;3585;3531
2808011;Kêtrzyn * (1);28466;13619;14847
2808022;Barciany * (2);6781;3445;3336
2808032;Kêtrzyn * (2);8439;4300;4139
2808043;Korsze * (3);10613;5291;5322
2808053;Reszel * (3);8219;4017;4202
2808062;Srokowo * (2);4118;2090;2028
2809011;Lidzbark Warmiñski * (1);16639;7978;8661
2809022;Kiwity * (2);3429;1767;1662
2809032;Lidzbark Warmiñski * (2);6803;3485;3318
2809042;Lubomino * (2);3652;1882;1770
2809053;Orneta * (3);12659;6186;6473
2810011;Mr¹gowo * (1);22323;10748;11575
2810023;Miko³ajki * (3);8566;4232;4334
2810032;Mr¹gowo * (2);7866;3926;3940
2810042;Piecki * (2);7928;3973;3955
2810052;Sorkwity * (2);4746;2368;2378
2811012;Janowiec Koœcielny * (2);3421;1761;1660
2811022;Janowo * (2);2897;1435;1462
2811032;Koz³owo * (2);6334;3238;3096
2811043;Nidzica * (3);21712;10705;11007
2812011;Nowe Miasto Lubawskie * (1);11166;5296;5870
2812022;Biskupiec * (2);9647;4884;4763
2812032;Grodziczno * (2);6402;3236;3166
2812042;Kurzêtnik * (2);9013;4491;4522
2812052;Nowe Miasto Lubawskie * (2);8044;4035;4009
2813032;Kowale Oleckie * (2);5436;2808;2628
2813043;Olecko * (3);22163;10821;11342
2813052;Œwiêtajno * (2);3994;2055;1939
2813062;Wieliczki * (2);3474;1785;1689
2814013;Barczewo * (3);17083;8519;8564
2814023;Biskupiec * (3);19309;9398;9911
2814033;Dobre Miasto * (3);16199;7933;8266
2814042;Dywity * (2);10453;5163;5290
2814052;Gietrzwa³d * (2);6019;3067;2952
2814063;Jeziorany * (3);8075;3965;4110
2814072;Jonkowo * (2);6634;3360;3274
2814082;Kolno * (2);3422;1714;1708
2814093;Olsztynek * (3);13947;6887;7060
2814102;Purda * (2);8157;4083;4074
2814112;Stawiguda * (2);6440;3175;3265
2814122;Œwi¹tki * (2);4224;2159;2065
2815011;Ostróda * (1);34060;16187;17873
2815022;D¹brówno * (2);4523;2358;2165
2815032;Grunwald * (2);5837;2991;2846
2815042;£ukta * (2);4496;2287;2209
2815052;Ma³dyty * (2);6522;3274;3248
2815063;Mi³akowo * (3);5814;2915;2899
2815073;Mi³om³yn * (3);5102;2542;2560
2815083;Mor¹g * (3);25245;12492;12753
2815092;Ostróda * (2);15834;8013;7821
2816013;Bia³a Piska * (3);12399;6322;6077
2816023;Orzysz * (3);9600;4845;4755
2816033;Pisz * (3);27957;13903;14054
2816043;Ruciane-Nida * (3);8548;4231;4317
2817011;Szczytno * (1);25254;12084;13170
2817022;DŸwierzuty * (2);6818;3426;3392
2817032;Jedwabno * (2);3700;1863;1837
2817043;Pasym * (3);5391;2701;2690
2817052;Rozogi * (2);5816;2991;2825
2817062;Szczytno * (2);11706;5909;5797
2817072;Œwiêtajno * (2);6116;3084;3032
2817082;Wielbark * (2);6564;3390;3174
2818012;Banie Mazurskie * (2);3967;1989;1978
2818022;Dubeninki * (2);3132;1544;1588
2818033;Go³dap * (3);20466;10194;10272
2819012;Budry * (2);3003;1546;1457
2819022;Pozezdrze * (2);3441;1729;1712
2819033;Wêgorzewo * (3);17371;8720;8651
2861011;Elbl¹g * (1);124668;59724;64944
2862011;Olsztyn * (1);174645;81462;93183
3001011;Chodzie¿ * (1);19715;9358;10357
3001022;Budzyñ * (2);8405;4253;4152
3001032;Chodzie¿ * (2);5741;2906;2835
3001043;Margonin * (3);6426;3237;3189
3001053;Szamocin * (3);7550;3778;3772
3002011;Czarnków * (1);11543;5632;5911
3002022;Czarnków * (2);11054;5579;5475
3002032;Drawsko * (2);6015;3025;2990
3002043;Krzy¿ Wielkopolski * (3);8824;4340;4484
3002052;Lubasz * (2);7337;3696;3641
3002062;Po³ajewo * (2);6254;3167;3087
3002073;Trzcianka * (3);24490;12041;12449
3002083;Wieleñ * (3);12787;6298;6489
3003011;Gniezno * (1);70322;33832;36490
3003023;Czerniejewo * (3);7172;3655;3517
3003032;Gniezno * (2);9833;4931;4902
3003042;Kiszkowo * (2);5352;2733;2619
3003053;K³ecko * (3);7580;3754;3826
3003062;£ubowo * (2);5952;2964;2988
3003072;Mieleszyn * (2);4061;1981;2080
3003082;Niechanowo * (2);5594;2793;2801
3003093;Trzemeszno * (3);14366;7200;7166
3003103;Witkowo * (3);13721;6833;6888
3004013;Borek Wielkopolski * (3);7659;3825;3834
3004023;Gostyñ * (3);27914;13618;14296
3004033;Krobia * (3);13010;6482;6528
3004042;Pêpowo * (2);6017;3037;2980
3004052;Piaski * (2);8502;4209;4293
3004063;Pogorzela * (3);5162;2569;2593
3004073;Poniec * (3);7975;3929;4046
3005012;Granowo * (2);5019;2518;2501
3005023;Grodzisk Wielkopolski * (3);19241;9497;9744
3005032;Kamieniec * (2);6491;3257;3234
3005043;Rakoniewice * (3);12833;6426;6407
3005053;Wielichowo * (3);6848;3429;3419
3006012;Jaraczewo * (2);8368;4066;4302
3006023;Jarocin * (3);45330;21984;23346
3006032;Kotlin * (2);7193;3581;3612
3006043;¯erków * (3);10538;5284;5254
3007012;Blizanów * (2);9626;4689;4937
3007022;Brzeziny * (2);5840;2877;2963
3007032;Ceków-Kolonia * (2);4775;2364;2411
3007042;Godziesze Wielkie * (2);8887;4429;4458
3007052;KoŸminek * (2);7525;3746;3779
3007062;Lisków * (2);5412;2614;2798
3007072;Mycielin * (2);4890;2450;2440
3007082;Opatówek * (2);10690;5247;5443
3007093;Stawiszyn * (3);7298;3520;3778
3007102;Szczytniki * (2);7960;3952;4008
3007112;¯elazków * (2);9217;4516;4701
3008012;Baranów * (2);7734;3857;3877
3008022;Bralin * (2);5945;3009;2936
3008033;Kêpno * (3);24801;12087;12714
3008042;£êka Opatowska * (2);5325;2693;2632
3008052;Perzów * (2);3848;1927;1921
3008062;Rychtal * (2);3955;1993;1962
3008072;Trzcinica * (2);4829;2404;2425
3009011;Ko³o * (1);23360;11003;12357
3009022;Babiak * (2);8036;4014;4022
3009032;Chodów * (2);3392;1686;1706
3009043;D¹bie * (3);6601;3294;3307
3009052;Grzegorzew * (2);5678;2773;2905
3009063;K³odawa * (3);13448;6616;6832
3009072;Ko³o * (2);7437;3755;3682
3009082;Koœcielec * (2);6607;3328;3279
3009092;Olszówka * (2);4696;2332;2364
3009102;Osiek Ma³y * (2);5957;2961;2996
3009113;Przedecz * (3);4337;2148;2189
3010013;Golina * (3);11774;5866;5908
3010022;Grodziec * (2);5267;2623;2644
3010032;Kazimierz Biskupi * (2);11072;5511;5561
3010043;Kleczew * (3);9967;4885;5082
3010052;Kramsk * (2);10586;5242;5344
3010062;Krzymów * (2);7438;3633;3805
3010073;Rychwa³ * (3);8363;4119;4244
3010082;Rzgów * (2);7062;3495;3567
3010092;Skulsk * (2);6258;3141;3117
3010103;Sompolno * (3);10553;5232;5321
3010112;Stare Miasto * (2);11238;5627;5611
3010123;Œlesin * (3);13828;6861;6967
3010132;Wierzbinek * (2);7654;3872;3782
3010142;Wilczyn * (2);6402;3177;3225
3011011;Koœcian * (1);24194;11574;12620
3011023;Czempiñ * (3);11392;5572;5820
3011032;Koœcian * (2);15537;7772;7765
3011043;Krzywiñ * (3);10059;4985;5074
3011053;Œmigiel * (3);17624;8764;8860
3012011;Sulmierzyce * (1);2876;1435;1441
3012023;Kobylin * (3);8146;4098;4048
3012033;KoŸmin Wielkopolski * (3);13662;6689;6973
3012043;Krotoszyn * (3);40799;19851;20948
3012052;Rozdra¿ew * (2);5180;2571;2609
3012063;Zduny * (3);7277;3630;3647
3013012;Krzemieniewo * (2);8421;4245;4176
3013022;Lipno * (2);6769;3388;3381
3013033;Osieczna * (3);8880;4397;4483
3013043;Rydzyna * (3);8449;4230;4219
3013052;Œwiêciechowa * (2);7466;3716;3750
3013062;Wijewo * (2);3707;1889;1818
3013072;W³oszakowice * (2);8915;4390;4525
3014012;Chrzypsko Wielkie * (2);3382;1687;1695
3014022;Kwilcz * (2);6261;3130;3131
3014033;Miêdzychód * (3);18623;9210;9413
3014043;Sieraków * (3);8797;4344;4453
3015012;Kuœlin * (2);5625;2824;2801
3015023;Lwówek * (3);9337;4631;4706
3015032;Miedzichowo * (2);3685;1823;1862
3015043;Nowy Tomyœl * (3);25245;12242;13003
3015053;Opalenica * (3);16047;7908;8139
3015063;Zb¹szyñ * (3);13565;6590;6975
3016013;Oborniki * (3);32844;16194;16650
3016023;RogoŸno * (3);18140;9102;9038
3016032;Ryczywó³ * (2);7369;3682;3687
3017011;Ostrów Wielkopolski * (1);72810;34878;37932
3017023;Nowe Skalmierzyce * (3);15198;7503;7695
3017033;Odolanów * (3);14258;7125;7133
3017042;Ostrów Wielkopolski * (2);18545;9160;9385
3017052;Przygodzice * (2);11854;5907;5947
3017063;Raszków * (3);11693;5857;5836
3017072;Sieroszewice * (2);9680;4863;4817
3017082;Soœnie * (2);6579;3333;3246
3018012;Czajków * (2);2540;1277;1263
3018022;Doruchów * (2);5228;2650;2578
3018033;Grabów nad Prosn¹ * (3);7836;3818;4018
3018042;Kobyla Góra * (2);6064;3101;2963
3018052;Kraszewice * (2);3651;1811;1840
3018063;Mikstat * (3);6175;3103;3072
3018073;Ostrzeszów * (3);23901;11599;12302
3019011;Pi³a * (1);74775;35874;38901
3019022;Bia³oœliwie * (2);4989;2504;2485
3019032;Kaczory * (2);7775;3871;3904
3019043;£ob¿enica * (3);9893;5060;4833
3019052;Miasteczko Krajeñskie * (2);3265;1619;1646
3019062;Szyd³owo * (2);8437;4241;4196
3019073;Ujœcie * (3);8153;4106;4047
3019083;Wyrzysk * (3);14307;6980;7327
3019093;Wysoka * (3);6861;3478;3383
3020012;Chocz * (2);4772;2395;2377
3020022;Czermin * (2);4882;2496;2386
3020032;Dobrzyca * (2);8340;4129;4211
3020042;Giza³ki * (2);4671;2339;2332
3020052;Go³uchów * (2);10248;5098;5150
3020063;Pleszew * (3);30302;14968;15334
3021011;Luboñ * (1);29832;14169;15663
3021021;Puszczykowo * (1);9756;4582;5174
3021033;Buk * (3);12230;5934;6296
3021042;Czerwonak * (2);26053;12735;13318
3021052;Dopiewo * (2);18581;9139;9442
3021062;Kleszczewo * (2);6230;3045;3185
3021072;Komorniki * (2);20013;9763;10250
3021083;Kostrzyn * (3);17117;8417;8700
3021093;Kórnik * (3);21092;10368;10724
3021103;Mosina * (3);27934;13606;14328
3021113;Murowana Goœlina * (3);16433;8146;8287
3021123;Pobiedziska * (3);18176;8940;9236
3021132;Rokietnica * (2);12746;6232;6514
3021143;Stêszew * (3);14484;7161;7323
3021152;Suchy Las * (2);14952;7311;7641
3021163;Swarzêdz * (3);44659;21746;22913
3021172;Tarnowo Podgórne * (2);21827;10593;11234
3022013;Bojanowo * (3);8949;4486;4463
3022023;Jutrosin * (3);7108;3575;3533
3022033;Miejska Górka * (3);9414;4722;4692
3022042;Pakos³aw * (2);4749;2451;2298
3022053;Rawicz * (3);30180;14531;15649
3023011;S³upca * (1);14256;6894;7362
3023022;L¹dek * (2);5702;2899;2803
3023032;Orchowo * (2);3939;1949;1990
3023042;Ostrowite * (2);5120;2592;2528
3023052;Powidz * (2);2182;1112;1070
3023062;S³upca * (2);9344;4613;4731
3023072;Strza³kowo * (2);10090;5118;4972
3023083;Zagórów * (3);9172;4590;4582
3024011;Obrzycko * (1);2359;1157;1202
3024022;Duszniki * (2);8485;4237;4248
3024032;KaŸmierz * (2);7662;3790;3872
3024042;Obrzycko * (2);4378;2211;2167
3024053;Ostroróg * (3);4958;2451;2507
3024063;Pniewy * (3);12436;6028;6408
3024073;Szamotu³y * (3);29358;14209;15149
3024083;Wronki * (3);18973;9328;9645
3025012;Dominowo * (2);2932;1462;1470
3025022;Krzykosy * (2);6721;3329;3392
3025032;Nowe Miasto nad Wart¹ * (2);9131;4568;4563
3025043;Œroda Wielkopolska * (3);30897;15121;15776
3025052;Zaniemyœl * (2);6529;3179;3350
3026012;Brodnica * (2);4902;2471;2431
3026023;Dolsk * (3);5860;2941;2919
3026033;Ksi¹¿ Wielkopolski * (3);8521;4297;4224
3026043;Œrem * (3);41082;19997;21085
3027011;Turek * (1);29059;13803;15256
3027022;Brudzew * (2);6029;2962;3067
3027033;Dobra * (3);6367;3159;3208
3027042;Kawêczyn * (2);5231;2623;2608
3027052;Malanów * (2);6526;3242;3284
3027062;Przykona * (2);4321;2134;2187
3027073;Tuliszków * (3);10593;5290;5303
3027082;Turek * (2);8494;4275;4219
3027092;W³adys³awów * (2);8091;4045;4046
3028011;W¹growiec * (1);25327;12272;13055
3028022;Damas³awek * (2);5626;2751;2875
3028033;Go³añcz * (3);8518;4316;4202
3028042;Mieœcisko * (2);6047;3020;3027
3028053;Skoki * (3);9073;4570;4503
3028062;Wapno * (2);3116;1535;1581
3028072;W¹growiec * (2);11737;6024;5713
3029012;Przemêt * (2);13802;6909;6893
3029022;Siedlec * (2);12394;6117;6277
3029033;Wolsztyn * (3);30268;14887;15381
3030012;Ko³aczkowo * (2);6113;3026;3087
3030023;Mi³os³aw * (3);10399;5141;5258
3030033;Nekla * (3);7082;3506;3576
3030043;Pyzdry * (3);7285;3599;3686
3030053;Wrzeœnia * (3);45214;21971;23243
3031011;Z³otów * (1);18760;9002;9758
3031023;Jastrowie * (3);11791;5852;5939
3031033;Krajenka * (3);7501;3711;3790
3031042;Lipka * (2);5661;2862;2799
3031053;Okonek * (3);9024;4516;4508
3031062;Tarnówka * (2);3133;1597;1536
3031072;Zakrzewo * (2);4922;2503;2419
3031082;Z³otów * (2);9479;4833;4646
3061011;Kalisz * (1);105386;49062;56324
3062011;Konin * (1);78525;37400;41125
3063011;Leszno * (1);64630;30863;33767
3064011;Poznañ * (1);554696;258451;296245
3201011;Bia³ogard * (1);24919;11893;13026
3201022;Bia³ogard * (2);8022;4098;3924
3201033;Karlino * (3);9418;4697;4721
3201043;Tychowo * (3);7049;3565;3484
3202012;Bierzwnik * (2);4891;2503;2388
3202023;Choszczno * (3);22515;11033;11482
3202033;Drawno * (3);5353;2709;2644
3202042;Krzêcin * (2);3879;1967;1912
3202053;Pe³czyce * (3);8112;4108;4004
3202063;Recz * (3);5795;2907;2888
3203013;Czaplinek * (3);12007;5911;6096
3203023;Drawsko Pomorskie * (3);16814;8242;8572
3203033;Kalisz Pomorski * (3);7317;3604;3713
3203042;Ostrowice * (2);2633;1349;1284
3203052;Wierzchowo * (2);4428;2264;2164
3203063;Z³ocieniec * (3);15733;7648;8085
3204023;Goleniów * (3);34967;17125;17842
3204033;Maszewo * (3);8625;4332;4293
3204043;Nowogard * (3);24964;12299;12665
3204052;Osina * (2);2971;1463;1508
3204062;Przybiernów * (2);5271;2692;2579
3204072;Stepnica * (2);4924;2434;2490
3205012;Brojce * (2);3837;1996;1841
3205023;Gryfice * (3);24087;11734;12353
3205032;Karnice * (2);4210;2078;2132
3205043;P³oty * (3);9263;4547;4716
3205072;Rewal * (2);3745;1819;1926
3205083;Trzebiatów * (3);16808;8497;8311
3206012;Banie * (2);6599;3357;3242
3206023;Cedynia * (3);4478;2237;2241
3206033;Chojna * (3);14077;6905;7172
3206043;Gryfino * (3);32138;15897;16241
3206053;Mieszkowice * (3);7477;3777;3700
3206063;Moryñ * (3);4433;2164;2269
3206072;Stare Czarnowo * (2);3850;2007;1843
3206083;Trzciñsko-Zdrój * (3);5683;2860;2823
3206092;Widuchowa * (2);5611;2801;2810
3207013;Dziwnów * (3);4125;2025;2100
3207023;Golczewo * (3);6075;3056;3019
3207033;Kamieñ Pomorski * (3);14690;7153;7537
3207043;Miêdzyzdroje * (3);6731;3207;3524
3207052;Œwierzno * (2);4358;2161;2197
3207063;Wolin * (3);12533;6226;6307
3208011;Ko³obrzeg * (1);47129;22277;24852
3208022;Dygowo * (2);5573;2746;2827
3208033;Goœcino * (3);5212;2605;2607
3208042;Ko³obrzeg * (2);10015;4928;5087
3208052;Rymañ * (2);4139;2072;2067
3208062;Siemyœl * (2);3671;1854;1817
3208072;Ustronie Morskie * (2);3639;1749;1890
3209012;Bêdzino * (2);8477;4234;4243
3209022;Biesiekierz * (2);6040;3015;3025
3209033;Bobolice * (3);9801;4984;4817
3209042;Manowo * (2);6762;3373;3389
3209052;Mielno * (2);5104;2489;2615
3209063;Polanów * (3);9190;4637;4553
3209073;Sianów * (3);13656;6752;6904
3209082;Œwieszyno * (2);6410;3170;3240
3210013;Barlinek * (3);19833;9798;10035
3210022;Boleszkowice * (2);2921;1484;1437
3210033;Dêbno * (3);21087;10383;10704
3210043;Myœlibórz * (3);20848;10254;10594
3210052;Nowogródek Pomorski * (2);3411;1738;1673
3211012;Dobra (Szczeciñska) * (2);16778;8242;8536
3211022;Ko³baskowo * (2);10809;5283;5526
3211033;Nowe Warpno * (3);1703;842;861
3211043;Police * (3);42057;20796;21261
3212012;Bielice * (2);3143;1586;1557
3212022;Kozielice * (2);2622;1352;1270
3212033;Lipiany * (3);6187;3098;3089
3212042;Przelewice * (2);5410;2756;2654
3212053;Pyrzyce * (3);19888;9852;10036
3212062;Warnice * (2);3597;1818;1779
3213011;Dar³owo * (1);14442;7013;7429
3213021;S³awno * (1);13163;6261;6902
3213032;Dar³owo * (2);7928;4014;3914
3213042;Malechowo * (2);6622;3321;3301
3213052;Postomino * (2);7068;3509;3559
3213062;S³awno * (2);8904;4521;4383
3214011;Stargard Szczeciñski * (1);69966;33706;36260
3214023;Chociwel * (3);6105;3060;3045
3214033;Dobrzany * (3);5122;2596;2526
3214042;Dolice * (2);8161;4124;4037
3214053;Iñsko * (3);3596;1811;1785
3214062;Kobylanka * (2);4475;2221;2254
3214082;Marianowo * (2);3222;1581;1641
3214092;Stara D¹browa * (2);3662;1863;1799
3214102;Stargard Szczeciñski * (2);12231;6174;6057
3214113;Suchañ * (3);4360;2173;2187
3215011;Szczecinek * (1);40787;19420;21367
3215023;Barwice * (3);8994;4473;4521
3215033;Bia³y Bór * (3);5424;2737;2687
3215043;Borne Sulinowo * (3);9754;4822;4932
3215052;Grzmi¹ca * (2);5094;2582;2512
3215062;Szczecinek * (2);9511;4788;4723
3216011;Œwidwin * (1);15931;7712;8219
3216022;Brze¿no * (2);2910;1469;1441
3216033;Po³czyn-Zdrój * (3);16166;7903;8263
3216042;R¹bino * (2);3892;2038;1854
3216052;S³awoborze * (2);4278;2145;2133
3216062;Œwidwin * (2);6166;3140;3026
3217011;Wa³cz * (1);26435;12621;13814
3217023;Cz³opa * (3);5134;2545;2589
3217033;Miros³awiec * (3);5691;2819;2872
3217043;Tuczno * (3);5107;2554;2553
3217052;Wa³cz * (2);12715;6349;6366
3218013;Dobra * (3);4537;2259;2278
3218023;£obez * (3);14518;7092;7426
3218032;Radowo Ma³e * (2);3741;1866;1875
3218043;Resko * (3);8375;4167;4208
3218053;Wêgorzyno * (3);7312;3706;3606
3261011;Koszalin * (1);109248;51639;57609
3262011;Szczecin * (1);410131;195303;214828
3263011;Œwinoujœcie * (1);41480;20069;21411
